fecha,promedio,maximo
"","",""
Last 30 Days,17487.94,26119
December 2024,17566.30,29878
November 2024,19734.22,35733
October 2024,17479.52,27243
September 2024,20334.99,33098
August 2024,28696.60,52178
July 2024,42181.13,77305
June 2024,28141.46,91883
May 2024,22197.77,35581
April 2024,22631.81,35327
March 2024,20029.94,31446
February 2024,19870.75,31287
January 2024,20298.70,37921
December 2023,17160.93,26611
November 2023,20394.82,33525
October 2023,21236.87,36967
September 2023,19244.10,29268
August 2023,21340.79,35044
July 2023,22851.44,37518
June 2023,21494.13,36308
May 2023,21876.11,44087
April 2023,20535.35,33821
March 2023,21718.30,35443
February 2023,23445.74,39958
January 2023,27140.17,47992
December 2022,18445.64,27313
November 2022,19348.20,32463
October 2022,22479.11,37718
September 2022,27926.82,48199
August 2022,28228.78,56616
July 2022,23620.28,37743
June 2022,24747.88,37861
May 2022,26006.95,43613
April 2022,26698.64,54905
March 2022,17937.24,29126
February 2022,23298.15,42254
January 2022,36614.79,65565
December 2021,53729.17,95102
November 2021,25761.44,42433
October 2021,26731.41,42623
September 2021,31514.52,52541
August 2021,40301.58,65329
July 2021,37666.21,67019
June 2021,23717.92,40067
May 2021,21311.11,37347
April 2021,17901.33,30178
March 2021,17149.87,27143
February 2021,18882.69,31117
January 2021,16917.22,24876
December 2020,14751.09,23767
November 2020,12661.01,20458
October 2020,15069.57,26240
September 2020,18950.52,30188
August 2020,20497.85,34086
July 2020,15767.28,24141
June 2020,15404.52,24417
May 2020,18015.75,26889
April 2020,17084.35,26373
March 2020,14297.16,23360
February 2020,13055.68,25612
January 2020,10660.06,17465
December 2019,9692.96,15898
November 2019,11354.67,19876
October 2019,9693.41,17309
September 2019,11413.88,21636
August 2019,16717.11,30359
July 2019,23105.44,38909
June 2019,14339.24,41190
May 2019,10927.74,18625
April 2019,9762.80,16750
March 2019,9418.24,16535
February 2019,9179.27,15759
January 2019,8077.58,14841
December 2018,6184.32,10222
November 2018,5671.72,10251
October 2018,5796.07,9691
September 2018,5808.82,11328
August 2018,5628.72,10272
July 2018,6825.94,11136
June 2018,6880.88,11264
May 2018,6347.34,11172
April 2018,6616.66,10903
March 2018,7422.64,12630
February 2018,7635.94,12637
January 2018,5963.09,10322
December 2017,5448.90,9105
November 2017,5891.44,10329
October 2017,7069.35,12435
September 2017,6743.04,12412
August 2017,8444.60,14218
July 2017,12136.97,22824
June 2017,12446.32,25599
May 2017,6548.16,11853
April 2017,6070.98,10062
March 2017,6723.47,11780
February 2017,7104.84,12450
January 2017,6566.36,11982
December 2016,4229.35,7820
November 2016,4604.36,8093
October 2016,5417.22,9210
September 2016,4166.88,7439
August 2016,4253.49,6789
July 2016,5008.78,8946
June 2016,4832.23,8599
May 2016,3806.63,6549
April 2016,4388.55,7916
March 2016,5237.88,9077
February 2016,5067.39,9568
January 2016,4937.99,9321
December 2015,4158.79,6638
November 2015,4211.75,7086
October 2015,4174.94,7277
September 2015,4636.36,7871
August 2015,6028.83,9941
July 2015,6889.61,11074
June 2015,5650.39,11905
May 2015,4069.55,6705
April 2015,4124.19,6740
March 2015,4422.25,7349
February 2015,4138.22,6897
January 2015,3798.70,6587
December 2014,2970.32,4753
November 2014,3359.22,6012
October 2014,2537.45,5425
September 2014,2526.14,4729
August 2014,3178.42,4984
July 2014,3344.27,5263
June 2014,2171.71,5723
May 2014,1928.34,3276
April 2014,1860.24,3338
March 2014,2520.49,6131
February 2014,3577.80,7401
