fecha,promedio,maximo
"","",""
Last 30 Days,3143.92,5407
December 2024,2919.24,5233
November 2024,2885.08,4860
October 2024,2963.76,5028
September 2024,3572.03,6303
August 2024,3628.21,7116
July 2024,3308.91,5900
June 2024,3167.49,5456
May 2024,2977.83,4935
April 2024,3210.91,5456
March 2024,3546.56,6183
February 2024,3110.32,5214
January 2024,3721.82,6375
December 2023,3662.12,6181
November 2023,3482.93,6775
October 2023,3103.35,5340
September 2023,3317.15,5638
August 2023,3256.47,6527
July 2023,3234.47,5164
June 2023,2888.22,4990
May 2023,3345.45,5780
April 2023,3466.31,5638
March 2023,3454.52,5970
February 2023,3377.44,5860
January 2023,3250.11,5503
December 2022,2781.13,4728
November 2022,2942.47,5122
October 2022,3673.15,7034
September 2022,4694.73,8252
August 2022,4721.19,8042
