fecha,promedio,maximo
"","",""
Last 30 Days,27187.04,40645
December 2024,22378.75,34909
November 2024,17040.34,27185
October 2024,17973.62,30987
September 2024,17447.08,30582
August 2024,19985.12,29740
July 2024,19612.22,32987
June 2024,19317.91,32179
May 2024,55778.15,94636
April 2024,52675.03,80934
March 2024,36063.09,57368
February 2024,48472.78,74167
January 2024,35018.31,61791
December 2023,43365.09,76536
November 2023,56856.06,92052
October 2023,36073.98,55815
September 2023,33960.47,55605
August 2023,26145.56,47514
July 2023,24390.32,41813
June 2023,31496.08,50884
May 2023,53032.50,93465
April 2023,72282.76,104411
March 2023,110815.46,210379
February 2023,168210.88,231166
January 2023,170228.52,333008
December 2022,269489.71,346761
November 2022,189625.19,280576
October 2022,156386.02,257779
September 2022,149088.37,229630
August 2022,168339.44,350545
July 2022,214630.65,351516
June 2022,465789.34,885379
May 2022,489020.40,797694
April 2022,354897.77,569729
March 2022,444117.16,907696
February 2022,699094.08,1324761
