fecha,promedio,maximo
"","",""
Last 30 Days,882.15,1368
December 2024,1001.72,1872
November 2024,949.07,1790
October 2024,883.09,1384
September 2024,940.91,1408
August 2024,1006.62,1521
July 2024,928.89,1376
June 2024,900.99,1314
May 2024,861.49,1270
April 2024,943.81,1399
March 2024,967.41,1549
February 2024,909.44,1362
January 2024,880.18,1344
December 2023,955.50,1646
November 2023,1124.90,2062
October 2023,951.52,1414
September 2023,921.50,1379
August 2023,1006.00,1500
July 2023,1050.59,1528
June 2023,1016.28,1541
May 2023,1109.08,1601
April 2023,1184.53,1768
March 2023,1226.74,1883
February 2023,1332.31,2166
January 2023,1321.81,2124
December 2022,1153.66,1754
November 2022,1226.33,2233
October 2022,1118.07,1717
September 2022,1174.38,1800
August 2022,1210.28,1904
July 2022,1196.55,1848
June 2022,1087.26,1601
May 2022,1178.92,1831
April 2022,1133.03,1775
March 2022,934.55,1398
February 2022,1182.47,1826
January 2022,1392.03,2317
December 2021,1089.76,1575
November 2021,1282.01,1982
October 2021,1369.57,2146
September 2021,1210.03,1830
August 2021,1356.97,1878
July 2021,1224.80,1718
June 2021,1179.36,1773
May 2021,1347.32,2039
April 2021,1791.03,2768
March 2021,2841.24,4884
