fecha,promedio,maximo
"","",""
Last 30 Days,6968.11,10795
December 2024,9439.71,24806
November 2024,14664.61,30701
October 2024,11954.28,24283
September 2024,28919.65,65601
August 2024,76501.49,163118
July 2024,28010.15,228398
June 2024,7913.30,14873
May 2024,18084.76,40961
April 2024,52644.22,121974
March 2024,17390.26,187416
February 2024,19361.41,38693
January 2024,46948.61,93689
December 2023,60265.17,167593
November 2023,13507.42,27445
October 2023,23261.93,49133
September 2023,47165.95,89607
August 2023,41182.81,165243
July 2023,13257.09,20229
June 2023,16930.66,27340
May 2023,36927.93,79261
April 2023,68488.55,209526
March 2023,14530.27,20743
February 2023,21205.91,35314
January 2023,35555.87,61685
December 2022,40287.74,127169
November 2022,7617.36,22330
October 2022,11637.62,28030
September 2022,29384.50,60837
August 2022,28300.56,151145
July 2022,12396.87,25422
June 2022,28234.85,55119
May 2022,34415.62,131010
April 2022,9770.71,21433
March 2022,21029.75,40699
February 2022,48632.97,158140
January 2022,8299.10,19478
December 2021,16595.37,44935
November 2021,36272.80,77811
October 2021,25924.34,148447
September 2021,14356.77,28338
August 2021,29790.83,64671
July 2021,19382.86,116106
June 2021,13292.76,28019
May 2021,39555.23,92312
April 2021,44080.69,155138
March 2021,20261.83,43963
February 2021,46919.90,90539
January 2021,47685.61,157091
December 2020,12697.63,36730
November 2020,17842.89,37936
October 2020,38437.27,75814
September 2020,32050.11,121595
August 2020,18829.49,38067
July 2020,34840.90,64732
June 2020,30079.25,125432
May 2020,18854.30,39620
April 2020,39235.06,73985
March 2020,42332.85,132508
February 2020,17581.66,41010
January 2020,39978.76,84600
December 2019,41688.04,117757
November 2019,12076.74,24832
October 2019,14907.46,31634
September 2019,25260.17,74653
August 2019,10943.65,25500
July 2019,26414.26,53530
June 2019,48491.09,113258
May 2019,13104.09,33842
April 2019,18953.84,40773
March 2019,35984.73,111114
February 2019,14212.75,33488
January 2019,36766.27,77233
December 2018,51321.88,123462
November 2018,14546.23,27484
October 2018,19520.61,39108
September 2018,36108.86,75484
August 2018,13004.31,75364
July 2018,19985.68,42784
June 2018,42051.05,95824
May 2018,15657.00,42316
April 2018,21416.57,45570
March 2018,36504.62,81781
February 2018,12815.64,27843
January 2018,26181.87,51656
December 2017,30957.38,70314
November 2017,10933.53,28475
October 2017,14870.82,31448
September 2017,28679.63,60597
August 2017,46477.36,98110
July 2017,9032.20,17660
June 2017,10099.82,18274
May 2017,10923.39,19390
April 2017,17342.30,34829
March 2017,28219.33,65200
February 2017,10793.92,18905
January 2017,16478.72,30442
December 2016,23766.00,46807
November 2016,8549.98,15690
October 2016,11993.74,23384
September 2016,16543.96,33220
August 2016,5043.76,8356
July 2016,7425.06,13960
June 2016,11733.93,26111
May 2016,5700.75,11266
April 2016,10619.47,22159
March 2016,16752.61,37266
February 2016,5953.71,10241
January 2016,9702.54,18744
December 2015,9699.81,22345
November 2015,4745.88,10025
October 2015,5819.86,11805
September 2015,5676.56,10759
August 2015,11254.87,23239
July 2015,13529.23,32284
June 2015,4032.39,6689
May 2015,5417.41,9818
April 2015,5249.50,9761
March 2015,4873.11,9857
February 2015,5473.61,9982
January 2015,7171.77,12184
December 2014,6516.11,13689
November 2014,4336.33,8257
October 2014,5839.72,10832
September 2014,9192.63,19303
August 2014,7828.96,24493
July 2014,4137.70,6922
June 2014,3900.81,6713
May 2014,4485.12,8630
April 2014,5785.36,10266
March 2014,8593.97,19489
February 2014,6003.51,11782
January 2014,8356.92,15468
December 2013,10365.44,19838
November 2013,16265.71,32066
October 2013,19346.91,34371
