fecha,promedio,maximo
"","",""
Last 30 Days,93.46,200
December 2024,83.29,178
November 2024,83.36,186
October 2024,82.50,188
September 2024,85.35,206
August 2024,85.45,209
July 2024,73.78,171
June 2024,77.30,175
May 2024,68.53,154
April 2024,82.14,189
March 2024,84.55,189
February 2024,81.08,186
January 2024,100.95,226
December 2023,110.65,245
November 2023,107.79,259
October 2023,75.76,179
September 2023,76.41,156
August 2023,99.29,251
July 2023,136.62,247
June 2023,61.84,154
May 2023,72.96,174
April 2023,92.33,231
March 2023,97.64,207
February 2023,93.06,222
January 2023,112.56,232
December 2022,107.74,240
November 2022,105.57,230
October 2022,106.50,235
September 2022,103.48,208
August 2022,130.91,298
July 2022,177.23,322
June 2022,126.23,258
May 2022,157.70,318
April 2022,128.22,304
March 2022,92.26,188
February 2022,111.36,257
January 2022,114.85,243
December 2021,86.40,173
November 2021,77.64,166
October 2021,77.20,165
September 2021,70.60,154
August 2021,74.18,161
July 2021,84.51,178
June 2021,92.19,194
May 2021,110.59,222
April 2021,121.59,264
March 2021,112.83,249
February 2021,129.37,256
January 2021,143.69,277
December 2020,119.23,241
November 2020,118.06,243
October 2020,110.26,218
September 2020,119.10,233
August 2020,129.92,251
July 2020,166.22,314
June 2020,151.15,288
May 2020,164.69,278
April 2020,169.31,307
March 2020,176.29,321
February 2020,182.32,371
January 2020,205.84,414
December 2019,111.08,208
November 2019,104.48,184
October 2019,92.48,173
September 2019,96.20,169
August 2019,100.13,200
July 2019,112.88,197
June 2019,95.10,172
May 2019,115.54,199
April 2019,133.00,227
March 2019,148.45,257
February 2019,152.18,274
January 2019,147.72,257
December 2018,135.63,232
November 2018,116.64,213
October 2018,98.17,189
September 2018,113.91,207
August 2018,139.43,282
July 2018,224.01,481
June 2018,223.44,442
May 2018,280.45,526
April 2018,343.59,653
March 2018,211.46,416
