fecha,promedio,maximo
"","",""
Last 30 Days,2649.43,4041
December 2024,2865.70,4565
November 2024,2434.90,4180
October 2024,2255.45,3346
September 2024,2260.68,3442
August 2024,2437.09,3708
July 2024,2190.24,3241
June 2024,2198.36,3173
May 2024,2234.21,3761
April 2024,2180.90,3390
March 2024,2407.41,3727
February 2024,2487.28,4317
January 2024,2511.32,3953
December 2023,3112.39,5673
November 2023,2834.67,4567
October 2023,2505.81,3803
September 2023,2739.83,4609
August 2023,3913.06,7419
July 2023,3222.58,5555
June 2023,3129.26,4845
May 2023,3202.23,5094
April 2023,3271.68,4795
March 2023,3224.02,5036
February 2023,3775.25,6474
January 2023,3875.53,5938
December 2022,3623.52,5378
November 2022,3448.78,6106
October 2022,3526.18,5198
September 2022,3664.06,5617
August 2022,4315.22,7125
July 2022,4137.28,5975
June 2022,3744.59,5484
May 2022,3866.75,6638
April 2022,3610.76,5211
March 2022,3366.16,5027
February 2022,4135.72,6845
January 2022,4785.55,8091
December 2021,5282.55,7447
November 2021,4590.74,7069
October 2021,4000.51,5905
September 2021,4798.22,7290
August 2021,5399.85,8697
July 2021,4901.77,6925
June 2021,5401.92,7801
May 2021,6358.99,9891
April 2021,6425.35,9292
March 2021,6315.54,9431
February 2021,6609.23,11196
January 2021,5998.22,8839
December 2020,5611.48,8161
November 2020,7133.66,12340
October 2020,8583.03,12508
