fecha,promedio,maximo
"","",""
Last 30 Days,4374.44,7422
December 2024,3905.37,6917
November 2024,3292.48,6167
October 2024,3076.08,5403
September 2024,3446.50,6179
August 2024,3812.11,6426
July 2024,3855.36,6462
June 2024,4399.53,7480
May 2024,4450.69,8237
April 2024,4178.03,7390
March 2024,4253.11,7560
February 2024,4196.19,7843
January 2024,4456.84,7744
December 2023,4518.04,7832
November 2023,3941.14,6752
October 2023,3965.49,6788
September 2023,3601.59,6510
August 2023,3488.32,5946
July 2023,4185.07,7021
June 2023,4973.69,9161
May 2023,6938.59,12172
April 2023,5767.93,10367
March 2023,4264.10,7428
February 2023,4431.57,8568
January 2023,4909.68,8498
December 2022,4194.92,7168
November 2022,3808.93,6716
October 2022,3467.08,6277
September 2022,3531.12,6336
August 2022,4672.92,8567
July 2022,5701.34,10045
June 2022,5964.09,10069
May 2022,5289.06,9067
April 2022,5289.54,9035
March 2022,6308.59,11568
February 2022,8088.93,19054
January 2022,6267.87,10602
December 2021,5867.10,9636
November 2021,5724.95,9787
October 2021,5771.94,9783
September 2021,6465.26,10986
August 2021,7363.62,12525
July 2021,6281.13,10388
June 2021,5070.41,8996
May 2021,5872.06,10021
April 2021,4940.01,8465
March 2021,5468.12,9667
February 2021,6727.90,12236
January 2021,7806.55,13143
December 2020,6066.28,10745
November 2020,6375.02,10369
October 2020,6210.14,10331
September 2020,7541.34,11800
August 2020,10521.42,21283
July 2020,18449.73,27416
