STAR WARS™: The Old Republic™,Cantidad de datos:,28
fecha,promedio,maximo
Last 30 Days,4260.96,7422
November 2024,3292.48,6167
September 2024,3446.50,6179
July 2024,3855.36,6462
May 2024,4450.69,8237
March 2024,4253.11,7560
January 2024,4456.84,7744
November 2023,3941.14,6752
September 2023,3601.59,6510
July 2023,4185.07,7021
May 2023,6938.59,12172
March 2023,4264.10,7428
January 2023,4909.68,8498
November 2022,3808.93,6716
September 2022,3531.12,6336
July 2022,5701.34,10045
May 2022,5289.06,9067
March 2022,6308.59,11568
January 2022,6267.87,10602
November 2021,5724.95,9787
September 2021,6465.26,10986
July 2021,6281.13,10388
May 2021,5872.06,10021
March 2021,5468.12,9667
January 2021,7806.55,13143
November 2020,6375.02,10369
September 2020,7541.34,11800
July 2020,18449.73,27416
