fecha,promedio,maximo
"","",""
Last 30 Days,10737.84,17150
December 2024,10301.38,16249
November 2024,9960.24,16563
October 2024,10409.02,17910
September 2024,10650.49,17131
August 2024,10898.51,18084
July 2024,11574.94,19349
June 2024,14418.12,27405
May 2024,13795.81,23327
April 2024,16878.65,29898
March 2024,13632.47,22943
February 2024,12639.38,20415
January 2024,14123.67,24736
December 2023,12263.08,19168
November 2023,12152.64,19637
October 2023,11758.10,22250
September 2023,11037.04,17600
August 2023,14302.81,22563
July 2023,15477.29,24231
June 2023,15327.54,31129
May 2023,14721.21,22772
April 2023,18182.92,29876
March 2023,14943.75,23269
February 2023,16331.67,27763
January 2023,16353.77,29480
December 2022,14037.72,20644
November 2022,13300.14,21737
October 2022,13587.67,22010
September 2022,13081.17,22490
August 2022,13807.91,24309
July 2022,16161.99,27980
June 2022,16266.59,26754
May 2022,13749.38,24474
April 2022,15362.73,26810
March 2022,12653.96,20947
February 2022,17885.64,32209
January 2022,19679.33,34533
December 2021,17003.84,26464
November 2021,15780.55,29494
October 2021,17133.01,28273
September 2021,16778.49,29507
August 2021,19317.74,35630
July 2021,18759.61,31391
June 2021,21282.80,39789
May 2021,18979.04,31115
April 2021,23377.61,43272
March 2021,20190.13,36373
February 2021,19912.28,31886
January 2021,19150.22,33069
December 2020,17804.64,29617
November 2020,16956.13,33807
October 2020,19102.69,32601
September 2020,18863.60,31588
August 2020,23369.40,38240
July 2020,22006.60,34962
June 2020,23003.48,39494
May 2020,23395.42,42677
April 2020,28467.65,49061
March 2020,14755.91,25432
February 2020,15738.70,30989
January 2020,15416.94,28238
December 2019,12472.22,23749
November 2019,11531.79,21527
October 2019,11160.97,19394
September 2019,11994.90,23437
August 2019,13323.98,23212
July 2019,14606.19,24568
June 2019,17569.08,29029
May 2019,17805.96,32498
April 2019,16138.11,28980
March 2019,13616.49,31851
February 2019,13429.59,24158
January 2019,12408.40,21996
December 2018,12020.54,19823
November 2018,10897.08,18228
October 2018,12914.51,21298
September 2018,12422.64,22288
August 2018,14577.76,29547
July 2018,13578.24,23384
June 2018,15447.39,28296
May 2018,10573.30,21380
April 2018,11408.31,19117
March 2018,9980.34,24641
February 2018,8965.69,15284
January 2018,10271.40,17705
December 2017,11648.26,25928
November 2017,7829.17,14783
October 2017,7780.48,13825
September 2017,8171.30,15470
August 2017,8097.48,18457
July 2017,8378.74,14351
June 2017,9914.64,16788
May 2017,9234.00,16676
April 2017,11266.26,29979
March 2017,7429.58,13220
February 2017,9579.08,17655
January 2017,7684.02,13704
December 2016,9664.39,20167
November 2016,9037.45,29305
October 2016,3230.06,6653
September 2016,2311.95,3950
August 2016,2993.41,6114
July 2016,3286.39,7008
June 2016,2818.71,5544
May 2016,1652.68,3240
April 2016,1881.40,3461
March 2016,2424.92,4852
February 2016,2523.94,4524
January 2016,3870.33,8572
December 2015,3271.00,7279
November 2015,1584.89,4487
October 2015,1656.53,2828
September 2015,2348.28,4700
August 2015,2377.30,5030
July 2015,2706.88,5971
June 2015,2149.18,3347
May 2015,1911.55,3208
April 2015,2457.01,4333
March 2015,2122.42,5067
February 2015,907.82,1559
January 2015,1005.77,2095
December 2014,843.54,1924
November 2014,510.42,1187
October 2014,631.03,1270
September 2014,711.88,1439
August 2014,1247.68,2290
July 2014,1992.62,3107
