fecha,promedio,maximo
"","",""
Last 30 Days,1024.61,2168
December 2024,935.04,1745
November 2024,986.96,1926
October 2024,1050.11,2056
September 2024,1096.04,2105
August 2024,1198.67,2345
July 2024,571.52,1132
June 2024,667.59,1347
May 2024,672.28,1297
April 2024,691.09,1428
March 2024,705.98,1371
February 2024,706.82,1337
January 2024,787.06,1564
December 2023,744.82,1372
November 2023,836.88,1693
October 2023,717.52,1386
September 2023,590.22,1139
August 2023,655.79,1280
July 2023,657.75,1266
June 2023,734.64,1446
May 2023,790.60,1509
April 2023,871.76,1691
March 2023,788.99,1548
February 2023,807.73,1617
January 2023,855.72,1657
December 2022,858.18,1592
November 2022,1009.33,2130
October 2022,1190.30,2448
September 2022,1049.42,2202
August 2022,869.12,1661
July 2022,822.40,1482
June 2022,890.78,1767
May 2022,1320.31,2663
April 2022,1141.86,3744
March 2022,767.94,1585
February 2022,846.03,1641
January 2022,977.33,1963
December 2021,1048.04,1942
November 2021,1020.25,2084
October 2021,981.32,1912
September 2021,819.41,1796
August 2021,809.30,1464
July 2021,789.74,1410
June 2021,742.15,1372
May 2021,926.72,1903
April 2021,1069.09,2063
March 2021,1010.38,1958
February 2021,985.95,1880
January 2021,1014.93,1858
December 2020,951.30,1735
November 2020,875.43,1600
October 2020,788.60,1589
September 2020,763.49,1494
August 2020,903.14,1619
July 2020,908.98,1840
June 2020,1082.89,2207
May 2020,1201.83,2332
April 2020,1304.90,2452
March 2020,917.05,2349
February 2020,565.38,1057
January 2020,516.09,944
December 2019,535.18,1004
November 2019,652.17,1352
October 2019,548.32,1049
September 2019,536.60,1087
August 2019,504.54,942
July 2019,468.41,880
June 2019,527.90,1020
May 2019,510.53,950
April 2019,500.19,957
March 2019,558.97,1211
February 2019,580.22,1123
January 2019,810.31,1601
December 2018,880.41,1592
November 2018,910.76,1958
October 2018,745.03,1496
September 2018,645.25,1204
August 2018,673.99,1267
July 2018,681.59,1268
June 2018,686.91,1275
May 2018,741.74,1361
April 2018,836.37,1544
March 2018,881.83,1685
February 2018,830.32,1636
January 2018,895.92,1731
December 2017,829.56,1565
November 2017,773.08,1561
October 2017,783.74,1579
September 2017,756.14,1470
August 2017,1031.83,2642
July 2017,842.33,1535
June 2017,827.82,1603
May 2017,946.52,1901
April 2017,989.24,1890
March 2017,912.36,1779
February 2017,933.73,1785
January 2017,977.61,1839
December 2016,859.70,1775
November 2016,800.66,1531
October 2016,809.85,1687
September 2016,709.69,1405
August 2016,805.03,1410
July 2016,891.92,1761
June 2016,785.91,1496
May 2016,809.27,1616
April 2016,839.99,1744
March 2016,775.10,1514
February 2016,847.62,1637
January 2016,941.11,1841
December 2015,881.97,1687
November 2015,828.39,1709
October 2015,830.95,1694
September 2015,827.08,1600
August 2015,987.55,1771
July 2015,994.98,1846
June 2015,942.61,1742
May 2015,911.47,1747
April 2015,715.83,1350
March 2015,787.56,1613
February 2015,887.11,1809
January 2015,1025.76,1982
December 2014,890.97,1764
November 2014,832.68,1674
October 2014,689.27,1331
September 2014,766.54,1607
August 2014,925.10,1666
July 2014,825.39,1730
June 2014,609.40,1159
May 2014,662.48,1351
April 2014,752.17,1607
March 2014,712.42,1448
February 2014,861.03,1875
January 2014,1146.80,2397
December 2013,1240.98,2339
November 2013,1187.53,3702
October 2013,807.90,1622
September 2013,793.44,1615
August 2013,758.92,1357
July 2013,725.08,1378
June 2013,781.68,1612
May 2013,1047.28,2168
April 2013,1281.14,2537
March 2013,1364.55,2469
February 2013,1496.69,3156
January 2013,1903.69,3383
December 2012,1530.19,3229
November 2012,1044.67,2057
October 2012,1135.25,2189
September 2012,1167.01,2134
August 2012,1435.39,2393
July 2012,1451.10,2388
